Name,Latitude,Longitude,Votes,Rating
Barano,40.710372,-73.96794,233,4.5
Momosan Ramen & Sake,40.74993,-73.97746,1577,4.0
Katsu-Hama,40.75638,-73.97759,1262,4.0
Lolo's Seafood Shack,40.80486,-73.95567,674,4.0
Pylos,40.72608,-73.98415,1109,4.5
Felice,40.70789,-74.00712,345,4.0
Le Bernardin,40.761557,-73.981763,2480,4.5
Shu Jiao Fu Zhou Cuisine Restaurant,40.7184290357839,-73.9916928979573,793,4.5
Marc Forgione,40.71647,-74.0095599,905,4.5
ilili,40.74435,-73.98778,2338,4.0
Mu Ramen,40.743797,-73.950631,1194,3.5
Oscar Wilde,40.74514,-73.9900399,599,4.0
SalaThai Restaurant,40.7801199,-73.98032,290,4.5
Minnie's,40.72045,-73.98448,127,4.0
Sweetwater Restaurant,40.7184736,-73.9600178,353,4.0
Raclette,40.7289298,-73.980601,1288,4.0
Jungsik,40.7185910158738,-74.0088844299316,572,4.5
Llama San,40.73225,-74.00078,37,4.0
Topaz Noodle Bar,40.7644424438477,-73.9789733886719,622,4.0
The Alcove,40.7459065,-73.915103,806,5.0
Sushi by Bou Times Square,40.75851,-73.98322,522,4.5
Clinton Street Baking Company,40.721128,-73.983933,4913,4.0
Misirizzi,40.7272,-73.99228,130,4.5
RH Rooftop Restaurant,40.73985,-74.00639,247,4.0
Cheeseboat,40.71994,-73.95791,382,4.0
Seamores,40.72074,-73.99696,703,4.0
Au Cheval Diner,40.7183878,-74.0015522,380,4.0
La Pulperia Hell's Kitchen,40.7609037798437,-73.9905203491259,761,4.0
Old Tbilisi Garden,40.7287707,-74.0008161,405,3.5
Ela Taverna,40.71916,-73.9586,120,4.0
Death Ave,40.75106,-74.00193,561,4.0
Sweet Chick,40.7217399,-73.98739,1577,4.0
Osamil,40.74697,-73.9864,394,4.0
Don Angie,40.73778,-74.00197,279,4.5
Crown Shy,40.7063449,-74.0076944,188,4.5
Walter's,40.6894111633301,-73.973258972168,501,4.0
Bunker,40.7105638,-73.9233984,710,4.0
The Four Horsemen,40.71305,-73.95732,168,4.5
Chez Ma Tante,40.7268966108951,-73.9574290439961,148,4.5
SSAM,40.68594,-73.991274,391,4.0
Bangia,40.746854,-73.9845201,351,4.0
Esme,40.7332033928175,-73.9549667724914,331,4.5
XYST,40.73874,-73.99444,292,4.5
Song E Napule,40.72813,-74.00188,439,4.5
Henry's End,40.69869,-73.99257,349,4.0
Woorijip,40.74747,-73.98648,2600,4.0
Llama Inn,40.71672,-73.95051,443,4.0
Allora Ristorante,40.75433,-73.97277,509,4.5
Izakaya MEW,40.7501853096499,-73.9863203465939,2212,4.0
Bisou Bisou,40.6898958381239,-73.9722776709226,79,4.5
Yakiniku Futago,40.738851870947,-73.9941236398979,320,4.5
Dim Sum Palace,40.76015,-73.9893699,1162,4.0
Au Za'atar,40.728901,-73.981185,785,4.0
Jiang Diner,40.72665,-73.98838,98,4.0
Hatsuhana Sushi Restaurant,40.75703,-73.97692,1289,4.0
Ramen Lab,40.720911,-73.996285,323,4.0
Pure Thai Cookhouse,40.764291,-73.988159,2470,4.0
Niche,40.71786,-73.98518,79,4.0
Nai Tapas,40.7267949,-73.9892815,893,4.5
Mémé Mediterranean,40.736412,-74.00616,577,4.0
The Flatiron Room,40.74452,-73.99049,769,4.5
Keens Steakhouse,40.75071,-73.98652,2482,4.0
Modern Love Brooklyn,40.70983,-73.95109,461,4.5
Beco,40.71837,-73.95045,334,4.0
Kura,40.726709,-73.9835794,462,4.5
Pig Beach,40.6792941479875,-73.9880264255794,543,4.0
The Paris Cafe,40.70732,-74.00159,312,4.0
Ginger and Lemongrass,40.71912,-73.98567,317,4.0
St. Mazie,40.71252,-73.95587,217,4.0
Entwine,40.737398,-74.00796,210,4.0
La Nonna Ristorante & Bar,40.718468787527,-73.9639185527139,282,4.0
Ampersand,40.7386178790617,-73.9834206895483,207,4.5
Madame Vo,40.72925,-73.98612,744,4.0
The Ribbon,40.7765198,-73.9774628,378,3.5
Oxomoco,40.7299099,-73.95548,256,4.0
Haenyeo,40.67519,-73.98116,96,4.0
Jin Ramen,40.78534,-73.97695,861,4.0
Yoon Haeundae Galbi,40.74997,-73.98442,347,4.5
Monarch Theater Restaurant,40.71595,-73.96222,49,5.0
Piccola Cucina Enoteca,40.726284,-74.002151,276,4.0
The Maze,40.747846,-73.9872499,414,4.0
Jack's Wife Freda,40.72213,-73.99756,1848,4.0
Il Porto Ristorante,40.6974427,-73.9675197,310,4.0
Per Se,40.7681528889558,-73.9827629623657,1621,4.5
Sagaponack Bar & Grill,40.7409324645996,-73.9907836914062,360,4.0
Popina,40.687361962701,-74.0014251909241,53,4.5
Kiki's,40.7144971858255,-73.9918553931336,580,4.0
Thai Holic,40.692989,-73.971282,392,4.5
Seamore's,40.7032,-73.99145,93,3.5
