Name,Latitude,Longitude,Votes,Rating,Type,City
Lombardi's Pizza,40.7215934960083,-73.9955956044561,6012,4.0,indian,ny
Tabaré,40.713046,-73.958968,632,4.0,indian,ny
Very Fresh Noodles,40.7423387008486,-74.00625,923,4.5,indian,ny
Cathédrale Restaurant,40.7316,-73.98951,51,4.0,indian,ny
AlMar,40.702662,-73.989177,424,4.0,indian,ny
Sugarcane Raw Bar Grill,40.703799,-73.992343,550,4.0,indian,ny
Babbo,40.732283,-73.999284,2387,4.0,indian,ny
Casa Enrique,40.743404338358,-73.954350367693,1146,4.0,indian,ny
Boilery - East Village,40.73112,-73.98898,46,4.5,indian,ny
Prince Street Pizza,40.7229087705545,-73.9944863319397,3256,4.5,indian,ny
Daniel,40.7667736797858,-73.967607,1564,4.5,indian,ny
Marea,40.7674213694566,-73.9810554368179,1994,4.0,indian,ny
Rosie's,40.72492,-73.99079,683,4.0,indian,ny
Han Dynasty,40.732072,-73.988074,1207,4.0,indian,ny
Momofuku Ssam Bar,40.73169,-73.985846,2422,4.0,indian,ny
The Meatball Shop,40.721651,-73.988746,2735,4.0,indian,ny
Café China,40.7499225208569,-73.9819464127197,1579,4.0,indian,ny
Douzo,40.7191369,-73.9908998,36,5.0,indian,ny
Birds of a Feather,40.71442,-73.960441,301,4.0,indian,ny
Baron's,40.6908116,-73.953915,274,4.0,indian,ny
Lucali,40.6818,-74.00024,1463,4.5,indian,ny
Tonkatsu Matsunoya,40.7533493041992,-73.9741592407227,374,4.0,indian,ny
PizzArte,40.7629335072372,-73.9776668697596,1061,4.0,indian,ny
Cecconi's Dumbo,40.7033063330116,-73.9916549604523,635,3.5,indian,ny
DeStefano's Steakhouse,40.71503,-73.94767,807,4.5,indian,ny
Gyu-Kaku Japanese BBQ,40.75908,-73.98989,1188,4.0,indian,ny
Sea Wolf,40.70683,-73.9228,434,4.0,indian,ny
Cocoron,40.7207236,-73.9953191,625,4.0,indian,ny
Fresh Salt,40.70707,-74.00244,389,4.0,indian,ny
Sakagura,40.7516467024541,-73.9729489318165,1770,4.0,indian,ny
Shuka,40.72707,-74.00283,408,4.0,indian,ny
Spicy Moon,40.72674,-73.98722,216,4.5,indian,ny
Havana Central,40.75831,-73.98416,2223,4.0,indian,ny
Despaña,40.7210686,-73.9979083,563,4.5,indian,ny
Mominette,40.7032458,-73.9258954,663,4.0,indian,ny
Tavola,40.755403,-73.994516,911,4.0,indian,ny
LĒNA,40.719135,-73.991758,119,4.5,indian,ny
Yara,40.75646,-73.9662,81,4.5,indian,ny
Park Avenue Tavern,40.75031,-73.9783999,734,4.0,indian,ny
Cafe Habana,40.722998,-73.994171,3134,4.0,indian,ny
Izakaya,40.72667,-73.98738,246,4.0,indian,ny
Dian Kitchen,40.72772,-73.98321,196,5.0,indian,ny
Hupo琥珀,40.742827,-73.953575,24,4.5,indian,ny
Cuba Restaurant and Rum Bar,40.729084,-73.998832,1520,4.0,indian,ny
The Greek,40.7237145,-74.0096166,477,4.5,indian,ny
Hold Fast Kitchen and Spirits,40.76064,-73.99023,272,5.0,indian,ny
Sup Crab,40.71733,-73.99502,194,4.0,indian,ny
Jongro BBQ,40.747514,-73.986884,1841,4.0,indian,ny
Mermaid Oyster Bar,40.7287899,-74.00165,1073,4.0,indian,ny
Silky Kitchen,40.73297,-73.98829,196,4.5,indian,ny
