Name,Latitude,Longitude,Votes,Rating
La Hacienda,29.810101,-95.425575,158.0,3.0
El Jardin Restaurant,29.73048,-95.28427,77.0,3.5
La Poblana Mexican Kitchen,29.7230396497504,-95.4766637831926,13.0,4.0
La Reyna Tortilleria - Irvington,29.79549,-95.36128,9.0,4.5
Taqueria El Palomo,29.74429,-95.38628,23.0,4.5
Tacos La Bala,29.8460469499122,-95.3835498914123,32.0,4.0
Rio Verdence,29.78353,-95.35586,14.0,4.5
Taquerias Mi Jalisco,29.864322,-95.384613,9.0,5.0
Monterrey Taqueria & Bar,29.72498,-95.32351,34.0,3.5
Villa Arcos,29.75569,-95.33947,223.0,4.0
Mi Sombrero Restaurant,29.8177843,-95.4111047,110.0,4.0
Los Tios Meyerland,29.6893949,-95.46334,149.0,3.0
TRIBUTE at The Houstonian,29.769047,-95.459961,27.0,4.5
El Dorado Taco,29.7931,-95.25816,6.0,4.5
Taqueria Monchis,29.7347411633891,-95.3302373,9.0,4.0
Tekila Mexican Grill,29.847764,-95.341583,6.0,4.5
Dichos Taqueria,29.7329434896195,-95.3085252046587,55.0,4.5
Hidalgo Taqueria,29.7935095487894,-95.3613256688734,8.0,4.5
Juanita's Mexican Restaurant,29.8099112,-95.4427441,207.0,3.5
El Patron Mexican Food,29.78718,-95.29521,2.0,5.0
Quesadillas Y Mas Las Parados,29.7930285272133,-95.3757400993887,4.0,5.0
Copa Coffee And Food,29.7624606487544,-95.3758320241836,7.0,4.5
El Segundo,29.76212,-95.36121,9.0,3.0
Armadillo Snow Cones,29.73507,-95.33046,7.0,5.0
Antonios Mexican Grill,29.704834,-95.426843,58.0,3.5
9 Amigos at Minute Maid Park,29.7588300704956,-95.3557142615318,2.0,3.5
Freebirds World Burrito,29.6919672892145,-95.4122579097748,135.0,3.5
Ruchi's Mexican Grill,29.73122,-95.4672,142.0,3.5
Tortilleria Zacatecas,29.6756682,-95.2660218,2.0,4.5
Taqueria Elena,29.7167472839355,-95.3157730102539,21.0,4.5
Hacienda La Esperanza,29.8451519012451,-95.3764953613281,5.0,3.5
Tacos El Compadre,29.76783,-95.37967,2.0,5.0
Que Pollaso,29.7068521,-95.3093427,18.0,4.0
Torchy's Tacos,29.757757,-95.354561,17.0,3.5
Paparruchos,29.7351398468018,-95.4661560058594,220.0,2.5
P&C Smokehouse,29.71628,-95.41465,2.0,5.0
Uberrito,29.7753174,-95.4109759,74.0,3.5
Think Tacos,29.80506,-95.42258,14.0,5.0
Los Dos Hermanos Mexican Restaurant,29.83979,-95.41141,15.0,4.5
Spanish Flowers Mexican Restaurant,29.7970336,-95.3819464,428.0,3.5
Mama Ninfa's Tacos Y Tortas,29.75957,-95.36472,11.0,3.0
Taqueria Mi Jalisco,29.8643070892911,-95.3845024108887,20.0,4.0
Gorditas Aguascalientes,29.795108,-95.3606754,100.0,3.5
Tacos El Aragon,29.732056,-95.308502,5.0,4.5
Casa Morales,29.7368,-95.28797,20.0,4.0
Tepatitlan Mexican Grill,29.79836,-95.38254,90.0,3.5
Taqueria Laredo,29.7984046936035,-95.367317199707,44.0,3.5
Jalisco's Street Taco's,29.86576,-95.66949,2.0,5.0
Los Cucos Mexican Cafe,29.814434,-95.462292,100.0,3.0
El Muelle Seafood,29.8599,-95.38505,15.0,3.5
Taqueria Cedral,29.8158348010224,-95.4295802861452,10.0,5.0
Los Tacos,29.83072,-95.68466,35.0,4.5
Laredo Taqueria,29.804176,-95.371064,70.0,4.0
Tostada Regia - Airline,29.86067,-95.38556,40.0,3.0
Los Corrales Taqueria,29.74071,-95.28809,9.0,4.5
Porras Prontito,29.7729749,-95.307205,31.0,4.0
El Paraiso Mexican Restaurant,29.7482566833496,-95.389892578125,107.0,4.0
La Tapatia Taqueria,29.7307871057701,-95.4763063873108,153.0,3.0
Taqueria Mi Castillo,29.79462,-95.3606,4.0,5.0
Abasolo Restaurant & Seafood,29.7759369,-95.3612744,15.0,3.5
Tejas Grill & Sports Bar,29.7552754,-95.3634918,89.0,3.0
Tomas Bakery,29.8091797751105,-95.3897276893258,5.0,4.0
Trigos Mexican Restaurant,29.8126289012925,-95.3693788,17.0,4.0
Herrera's Cafe,29.77817,-95.35448,7.0,4.5
San Marcos Taqueria & Refresqueria,29.693967897804,-95.2781089022756,4.0,5.0
Las Fuentes Taqueria,29.84494,-95.38834,11.0,4.5
Taco Palenque - Houston,29.69888,-95.29726,101.0,3.5
Chacho's,29.845196,-95.391583,130.0,3.0
Houston Bakery & Cafe,29.7841148,-95.361062,10.0,3.5
Don Rey Mexican Restaurant #2,29.77433,-95.24561,24.0,3.5
Taqueria Guadalajara,29.71862,-95.2946599,6.0,5.0
Jarro Cafe,29.77147,-95.60389,45.0,4.5
Pollos Asados Los Regios,29.79401,-95.36127,2.0,4.5
Antonio's Mexican Restaurant,29.7766549,-95.3070396,3.0,4.5
Neveria & Taqueria El Quijote,29.6848100327023,-95.3015279397368,16.0,4.5
El Hidalguense,29.802575,-95.470525,74.0,3.5
La Casa Del Cabrito,29.68712,-95.28008,6.0,4.0
Taqueria El Dorado,29.828,-95.37224,7.0,4.5
Taqueria  La Selva,29.68852,-95.29808,14.0,4.5
Fuzzy's Taco Shop,29.671108,-95.4612897,132.0,3.0
Taqueria Los Charros,29.7375333,-95.3078568,17.0,4.0
El Manna Grill Pollo Asado,29.86388,-95.38508,7.0,4.5
El Pollo Loco,29.7883598368367,-95.4675383846558,52.0,3.0
Taquerias El Alteno,29.73648,-95.30346,40.0,3.5
Taqueria El Barbón,29.705274,-95.245281,1.0,5.0
Liberty Taco,29.69414,-95.41223,21.0,3.5
Chipotle Mexican Grill,29.7097629834049,-95.4011230030584,91.0,3.5
La Rosa Blanca,29.809481,-95.3815205,13.0,4.5
Taqueria Don Tin 3,29.807531,-95.392181,9.0,4.5
La Mexicana,29.74836,-95.3917,362.0,3.0
Mi Pueblito Refresqueria,29.705559,-95.308358,4.0,4.0
Tapatio’s Mexican Restaurant,29.81877,-95.46021,6.0,4.0
Mi Charro,29.7273576041,-95.3208996748,1.0,3.0
Tostada Regia,29.6851256615043,-95.2792356269837,42.0,3.5
Dona Chela,29.687978,-95.278148,26.0,4.0
Don Carlo's Restaurant,29.670194,-95.276229,46.0,3.5
Taqueria Las Aguilas,29.841712335951,-95.2620450934339,9.0,4.0
Don Jose Mexican Restaurant,29.841245,-95.473974,95.0,3.5
The Rotisserie & Grill,29.7601927,-95.3693896,2.0,4.5
Carnitas Gerardo's,29.859089,-95.350807,1.0,4.0
Andy's Home Cafe,29.791,-95.3866908,147.0,3.0
Don Luis Mexican Restaurant,29.830394,-95.360969,4.0,4.5
Alma Latina,29.8355151614342,-95.3424114198973,10.0,3.5
Taco Loco Truck,29.834303,-95.375313,5.0,5.0
Don Pablito's,29.8197769818148,-95.4586787981116,29.0,3.5
Khronchy's,29.74904,-95.3760099,2.0,5.0
El Burro & the Bull,29.7418707,-95.3209928,88.0,4.0
Tacos del Julio Food Truck,29.8000722870408,-95.4097758606076,6.0,4.5
Berryhill Baja Grill,29.79054,-95.38968,162.0,3.0
