Name,Latitude,Longitude,Votes,Rating,Type,City
Cafetal Social Club,40.724308,-73.994457,119,4.5,italian,ny
Sotto 13,40.7372,-73.99919,866,4.0,italian,ny
Scalini Fedeli,40.7173964385114,-74.0093277537459,304,4.5,italian,ny
Puglia Ristorante,40.7181606872639,-73.9976975651144,463,4.0,italian,ny
The Odeon,40.71692,-74.00792,624,4.0,italian,ny
Inatteso Pizzabar Casano,40.7056571,-74.0172056,310,4.0,italian,ny
Bella Gioia,40.6775302,-73.9827215,203,4.5,italian,ny
VINATERÍA,40.8064392068585,-73.9540110111145,430,4.0,italian,ny
Milk And Roses,40.7364097,-73.9550825,364,4.0,italian,ny
Ammazzacaffè,40.7113172,-73.9446243,151,4.5,italian,ny
Tony's Di Napoli,40.76435,-73.96408,649,4.0,italian,ny
Bacaro,40.71456,-73.99154,382,4.0,italian,ny
Convivium Osteria,40.68105,-73.97748,472,4.0,italian,ny
NORMA Gastronomia Siciliana,40.743553,-73.980026,334,4.5,italian,ny
L' Angolo Tribeca,40.71734,-74.01044,122,3.5,italian,ny
Queen Italian Restaurant,40.691356,-73.991905,306,4.0,italian,ny
Luzzos La Pizza Napoletana,40.730616,-73.9834846,1030,4.0,italian,ny
Tessa,40.7814059,-73.97918,369,4.0,italian,ny
Vic's,40.72693,-73.99319,444,4.0,italian,ny
Osteria 57,40.73467,-73.99786,106,4.5,italian,ny
Rao's,40.79392,-73.93427,147,4.5,italian,ny
B Side Pizza & Wine Bar,40.76394,-73.9883399,1087,4.5,italian,ny
Oak Tuscan Truffle Restaurant,40.735042,-74.00002,81,4.5,italian,ny
Bamonte's,40.716579,-73.951174,333,4.0,italian,ny
Mani In Pasta,40.7326,-73.98515,86,4.5,italian,ny
Rezdôra,40.73901,-73.9891,130,4.0,italian,ny
Montesacro Pinseria Brooklyn,40.71338,-73.95136,34,4.5,italian,ny
I Sodi,40.7334747314453,-74.005012512207,332,4.0,italian,ny
Speedy Romeo,40.71951,-73.98514,295,4.0,italian,ny
Trattoria Italienne,40.7430619,-73.9903948,137,4.5,italian,ny
