Name,Latitude,Longitude,Votes,Rating,Type,City
Dak & Bop,29.721726,-95.382427,1026,3.5,indian,houston
The Moonshiners Southern Table + Bar,29.76056,-95.36188,562,4.0,indian,houston
Nobu Houston,29.74048,-95.46467,243,3.5,indian,houston
Kenny & Ziggy's New York Delicatessen,29.7429019,-95.4608651,1137,4.0,indian,houston
Vic & Anthony's Steakhouse,29.7570194980525,-95.3581523895264,876,4.0,indian,houston
Brennan's of Houston,29.7429008483887,-95.3814392089844,735,4.0,indian,houston
Mama’s Kitchen,29.7323257688598,-95.4388258070098,45,4.5,indian,houston
M&M Grill,29.70125,-95.38558,713,4.5,indian,houston
Olive & Twist,29.73435,-95.42048,51,4.5,indian,houston
Brasserie du Parc,29.7538691044983,-95.3612487998702,226,4.0,indian,houston
Niko Niko's Greek & American Cafe,29.74651,-95.39218,1888,4.0,indian,houston
Xochi,29.754551,-95.3582,702,4.0,indian,houston
Tamashi Ramen and Sushi,29.70642,-95.41726,363,4.5,indian,houston
Grand Lux Cafe,29.7412259641579,-95.4629382423279,857,3.5,indian,houston
Blackbird Izakaya,29.79036,-95.4092,214,4.0,indian,houston
Pepper Twins,29.74806,-95.38634,598,4.0,indian,houston
Spicy Girl,29.7389782,-95.3801068,306,4.0,indian,houston
Better Luck Tomorrow,29.78122,-95.39861,249,4.0,indian,houston
Doris Metropolitan,29.740215,-95.410475,201,4.5,indian,houston
B&B Butchers & Restaurant,29.76807,-95.37628,954,3.5,indian,houston
Eddie V's Prime Seafood,29.7402734338612,-95.4190848558197,618,4.5,indian,houston
Chicken Station,29.73594,-95.30192,161,4.5,indian,houston
Lotti Dotti,29.734293,-95.387233,40,4.5,indian,houston
Riel,29.74456,-95.40489,216,4.0,indian,houston
Moon Tower Inn,29.754284,-95.341073,762,4.0,indian,houston
The Blue Fish,29.7620117022974,-95.3664868883606,840,4.0,indian,houston
Giacomo's Cibo e Vino,29.742032,-95.423718,512,4.0,indian,houston
Local Foods,29.7195096809181,-95.4164240674591,1507,4.5,indian,houston
Mastrantos,29.788228,-95.388072,104,4.5,indian,houston
Songkran Thai Kitchen,29.7565604,-95.4573055,360,4.0,indian,houston
Bistecca,29.744848,-95.383987,190,4.5,indian,houston
Liberty Kitchen & Oyster Bar,29.79058,-95.38753,1076,3.5,indian,houston
City Acre Brewing,29.85699,-95.33508,120,4.5,indian,houston
D'Amico's Italian Market Cafe,29.71598,-95.4153504,368,4.0,indian,houston
Da Marco,29.74313,-95.397814,324,4.0,indian,houston
Dolce Vita,29.744775,-95.38742,711,4.0,indian,houston
La Villa,29.733931,-95.3908263,59,4.5,indian,houston
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,281,4.0,indian,houston
Urban Eats,29.7695392518322,-95.3949268650834,891,4.0,indian,houston
Del Frisco's Double Eagle Steakhouse,29.7399776,-95.4638549,722,4.0,indian,houston
Lucienne,29.7551246407975,-95.3660582005978,65,4.0,indian,houston
B.B. Lemon,29.7674542512049,-95.3761047497392,203,3.5,indian,houston
Taste Bar + Kitchen,29.74529,-95.3813,391,3.5,indian,houston
The Stuffed Baked Potato Factory,29.6871998667623,-95.3411567819705,171,4.0,indian,houston
Rocco's,29.79333,-95.35928,58,4.5,indian,houston
Roka Akor - Houston,29.7387,-95.44081,343,4.5,indian,houston
Roti,29.7092641,-95.4014984,3,5.0,indian,houston
Houston's,29.72891,-95.4189,613,4.0,indian,houston
Bravery Chef Hall,29.76156,-95.36228,51,4.5,indian,houston
Andalucia Tapas Restaurant & Bar,29.753411,-95.364196,488,3.5,indian,houston
MAX's Wine Dive,29.748418,-95.385446,581,4.0,indian,houston
King's Bierhaus,29.8041431,-95.4274122,535,4.0,indian,houston
Aka Sushi House,29.7386449,-95.4161434,1140,4.0,indian,houston
Georgia James,29.7450251168537,-95.393044911325,164,4.0,indian,houston
Ono Poke,29.73431,-95.38741,714,4.5,indian,houston
Hughie's,29.80131,-95.4317,711,4.0,indian,houston
Yokushi Robata,29.7323230077825,-95.4392364666781,216,4.0,indian,houston
Punk's Simple Southern Food,29.7185841228888,-95.4150941883606,560,3.5,indian,houston
Patrenella's,29.76912,-95.4021,348,4.0,indian,houston
Verdine,29.80336,-95.4052,152,4.0,indian,houston
Dish Society,29.79044,-95.39853,428,4.5,indian,houston
Mai's Restaurant,29.7411156,-95.3798064,1019,3.5,indian,houston
Tiny Boxwoods,29.73851,-95.43509,1211,4.0,indian,houston
Fig & Olive - Houston,29.7396908,-95.4652897,271,4.0,indian,houston
Blue Onyx Bistro,29.733347807236,-95.456397757844,321,4.5,indian,houston
Penny Quarter,29.743103,-95.396913,47,4.5,indian,houston
LES BA'GET,29.81675,-95.42858,124,4.0,indian,houston
Thai Cafe,29.76335,-95.36025,84,4.5,indian,houston
Julep,29.7676141,-95.3779718,336,4.0,indian,houston
Warehouse 72,29.785959,-95.465455,88,4.0,indian,houston
Hughie's,29.79774,-95.38316,169,4.5,indian,houston
Tamashi Ramen and Sushi,29.7884065,-95.4678997,408,4.5,indian,houston
The Classic,29.77125,-95.42139,257,4.5,indian,houston
The Gyro Grill Guys,29.743904,-95.364636,216,4.5,indian,houston
Seasons 52,29.7415521341054,-95.4521601294998,566,4.0,indian,houston
Anonymous Cafe,29.733156,-95.41801,82,5.0,indian,houston
BOH Pasta & Pizza,29.7617656683504,-95.3621810104161,37,4.5,indian,houston
Shepherd Park Draught House,29.8175785297165,-95.4099878697624,376,4.5,indian,houston
The Rice Box,29.7556801,-95.40862,165,4.0,indian,houston
Ramen Tatsu-Ya,29.7433,-95.39833,862,3.5,indian,houston
Good Dog Houston - Heights,29.78741,-95.38797,625,4.0,indian,houston
Sorrento Ristorante Italiano,29.7444128,-95.3867141,306,4.0,indian,houston
Calle Onze,29.79043,-95.39974,347,4.0,indian,houston
Etoile Cuisine et Bar,29.75697,-95.45693,369,4.5,indian,houston
Ginger & Fork,29.775371,-95.408767,238,4.0,indian,houston
Reggae Hut,29.7264276,-95.3776415,370,4.0,indian,houston
Istanbul Grill,29.71566,-95.41463,515,4.0,indian,houston
El Tiempo Cantina- Richmond,29.7342285,-95.4257327,732,4.0,indian,houston
Asia Market Thai Restaurant,29.80392,-95.368171,243,4.0,indian,houston
Cowboys & Indians Tex-In Kitchen,29.75182,-95.38547,307,4.0,indian,houston
Fadi's Meyerland Mediterranean Grill,29.6894149,-95.4600067,648,4.5,indian,houston
Night Heron,29.7357217,-95.399477,121,4.0,indian,houston
Treebeards,29.7621854179471,-95.3618420932421,196,4.0,indian,houston
Hopdoddy Burger Bar,29.7162949999899,-95.4149717749213,533,4.0,indian,houston
The Pho Spot,29.760415889082,-95.3616855293512,200,4.5,indian,houston
The Capital Grille,29.7392743,-95.4699321,365,4.0,indian,houston
Esther's Cajun Cafe & Soul Food,29.84202,-95.40257,299,4.0,indian,houston
BB's Tex-Orleans,29.78133,-95.38794,769,4.0,indian,houston
Postino Heights,29.78306,-95.3985299,402,4.0,indian,houston
Goode Company Seafood,29.7285128246383,-95.4203385626453,567,4.0,indian,houston
Helen In The Heights,29.791578,-95.388365,195,4.0,indian,houston
Rachels Cafe,29.7597414288733,-95.3599986477912,170,4.5,indian,houston
La Griglia,29.75356,-95.40889,352,4.0,indian,houston
Luigi's Pizzeria,29.735367,-95.374622,1041,4.0,indian,houston
Cafe Brussels,29.77355,-95.3722,272,4.0,indian,houston
Artisans Restaurant,29.7425096583742,-95.3799537073163,405,4.0,indian,houston
Vinoteca Poscol,29.74476,-95.3893499,121,4.0,indian,houston
Cantina Barba,29.79085,-95.37339,129,4.5,indian,houston
Piola,29.74287233551,-95.3798845184326,587,4.0,indian,houston
Mendocino Farms,29.7593,-95.36241,5,4.5,indian,houston
Ray's BBQ Shack,29.7026499,-95.3567173,662,4.5,indian,houston
Ploughman's Deli & Cafe,29.840683,-95.420117,110,5.0,indian,houston
Local Foods,29.7425611,-95.4181027,813,4.5,indian,houston
Rosalie Italian Soul,29.7579561439064,-95.3711798787117,19,4.0,indian,houston
El Tiempo Cantina - Navigation,29.75631,-95.34151,334,4.0,indian,houston
Izakaya WA,29.7524467617111,-95.4097392389107,102,4.5,indian,houston
Standard,29.77073,-95.41488,55,4.0,indian,houston
Sofrito,29.8153470366494,-95.4297368084947,21,5.0,indian,houston
Cajun Town Cafe,29.75796,-95.347447,64,4.5,indian,houston
Oishii,29.7330860390498,-95.4368909182455,1232,4.0,indian,houston
Helen Greek Food and Wine,29.71728,-95.41606,337,4.0,indian,houston
Batanga,29.7623427,-95.3614479,970,3.0,indian,houston
Superica,29.80193,-95.41033,276,4.0,indian,houston
Loch Bar,29.742318,-95.453565,81,4.0,indian,houston
Pappasito's Cantina,29.751495697002,-95.3606378552088,344,3.0,indian,houston
Pluckers Wing Bar,29.7735952,-95.4093677,921,3.5,indian,houston
Caracol,29.7433633233118,-95.4613215925904,1059,4.0,indian,houston
A'Bouzy,29.7426814370813,-95.4153464734554,359,3.5,indian,houston
La Table,29.7473478503039,-95.4616583121282,265,4.0,indian,houston
Emmaline,29.7574085485449,-95.3999614033765,345,3.5,indian,houston
Eloise Nichols Grill & Liquors,29.742388,-95.4505148,324,4.0,indian,houston
Ibiza Food & Wine Bar,29.747401,-95.3768201,461,4.0,indian,houston
MKT BAR,29.7544629017867,-95.3614359686478,576,4.0,indian,houston
Under the Volcano,29.72527,-95.4147,337,4.0,indian,houston
Harold's,29.8026744965396,-95.4033817668648,276,3.5,indian,houston
Diced Poke,29.739003,-95.380113,412,4.5,indian,houston
Mandola's Deli,29.73764,-95.33956,271,4.5,indian,houston
Texadelphia,29.7419099637541,-95.3909698743018,85,4.0,indian,houston
Pasha,29.7148246765137,-95.4138641357422,291,4.0,indian,houston
BB's Tex-Orleans,29.745212,-95.391735,632,3.5,indian,houston
Little Matt's,29.71587,-95.43353,502,4.5,indian,houston
Cooking Girl,29.70636,-95.41496,214,4.0,indian,houston
Siu Lap City,29.74512,-95.37747,97,4.5,indian,houston
Yia Yia Mary's,29.74753,-95.45791,700,3.5,indian,houston
Antica Osteria,29.725282,-95.413276,315,4.0,indian,houston
Handies Douzo,29.781711,-95.39559017,1,5.0,indian,houston
Surya India,29.7685441737493,-95.4102170839906,272,4.0,indian,houston
Blue Nile,29.737581,-95.426543,325,4.0,indian,houston
Beer Market Co - Studemont,29.7671159390386,-95.3917187200568,315,4.0,indian,houston
Doberman's Bar & Grill,29.76731,-95.40966,183,4.5,indian,houston
Maggiano's Little Italy,29.74507,-95.460509,635,3.5,indian,houston
Voodoo Queen Daiquiri Dive,29.747526,-95.337898,180,4.0,indian,houston
Gusto Gourmet,29.7362906,-95.4108062,281,4.5,indian,houston
Bernie's Burger Bus,29.8062298601927,-95.3989635407925,314,4.0,indian,houston
Mint Thai Kitchen,29.76011,-95.39857,143,4.0,indian,houston
Mendocino Farms,29.716224,-95.415251,119,4.0,indian,houston
The Chicken & Rice Guys,29.8117842905828,-95.3997976018524,79,4.0,indian,houston
Govinda's Vegetarian Cuisine,29.8176694576682,-95.423864390213,356,4.5,indian,houston
Shell Shack,29.76853,-95.38337,223,3.0,indian,houston
Café Rabelais,29.7167059779167,-95.4156891256571,320,4.0,indian,houston
Mary'z Mediterranean Cuisine,29.7706311048388,-95.4068061172845,217,3.5,indian,houston
Nara Express,29.747424155181,-95.3706633785736,416,4.0,indian,houston
Damian's Cucina Italiana,29.74437,-95.3797,214,4.0,indian,houston
Red Lion British Pub,29.74565,-95.41098,610,3.5,indian,houston
UB Preserv,29.742502114649,-95.3997889906168,133,4.0,indian,houston
Luna Pizzeria,29.7724879794653,-95.3990623776413,234,4.5,indian,houston
Fadi's Eatery,29.72173,-95.38244,67,4.5,indian,houston
Foundation Room,29.7539291,-95.3640564,71,4.5,indian,houston
China Garden,29.7491456,-95.3632065,222,4.0,indian,houston
Paulie's,29.7428749,-95.4064275,783,4.0,indian,houston
Kubo’s Sushi & Washoku,29.7682,-95.37761,43,4.5,indian,houston
Bloom & Bee,29.75134,-95.45705,194,3.5,indian,houston
Biggio's,29.7540775490537,-95.3578174860361,331,3.0,indian,houston
SeaSide Poke,29.7501531437211,-95.3561897076783,383,4.5,indian,houston
