Name,Latitude,Longitude,Votes,Rating,Type
Cathédrale Restaurant,40.7316,-73.98951,48,4.0,american
Taste of Heaven,40.717115,-73.940613,127,5.0,american
Rabbit House Japanese Tapas & Sake Bar,40.71725,-73.99329,218,4.5,american
The Winslow,40.7327766418457,-73.9852142333984,522,4.5,american
Five Senses,40.747573158626,-73.9863122632311,1362,4.0,american
Bread & Spread,40.7025945,-73.9869119,137,4.5,american
Izakaya Juraku,40.7196796287355,-73.9887088537216,80,4.5,american
Kaoru,40.75202,-73.96977,321,4.5,american
Hong Chun Cheon,40.74721,-73.986192,25,3.0,american
The Tang - Upper West Side,40.80005,-73.966393,165,4.5,american
Davelle,40.71852,-73.98605,103,4.0,american
Top Thai Greenwich,40.72977,-73.99939,1308,4.5,american
Wayla,40.71828,-73.99275,174,4.5,american
Au Cheval Diner,40.7183878,-74.0015522,380,4.0,american
Douzo,40.7191369,-73.9908998,33,5.0,american
OBAO,40.7606544,-73.991332,2439,4.0,american
Miss Ada,40.689436,-73.9723809,196,4.5,american
Tabaré,40.713046,-73.958968,632,4.0,american
Basta Pasta,40.73881,-73.99407,1406,4.0,american
Local 92,40.726957,-73.9885354,398,4.0,american
Pepe Giallo,40.7468940064083,-74.0049896784992,623,4.0,american
Colonie,40.6909,-73.9958,559,4.0,american
Habana Outpost,40.68645,-73.97416,1002,4.0,american
Tableside Italian Cook Shoppe,40.7266287,-73.9863384,244,4.5,american
ICHIRAN Midtown,40.74839,-73.99062,676,4.0,american
Hutong,40.761551,-73.967443,200,3.5,american
Cookshop,40.7454251,-74.0056084,2070,4.0,american
Industry Kitchen,40.7049434740873,-74.0048825740814,577,3.5,american
Yemen Cafe & Restaurant,40.6899167976363,-73.9936561765076,493,4.5,american
Bobwhite Counter,40.72365,-73.97899,772,4.5,american
BCD Tofu House,40.747503631444,-73.9862447208321,1961,4.0,american
Rasa,40.7327654,-73.9975674,685,4.0,american
Baron's,40.6908116,-73.953915,273,4.0,american
Balthazar Restaurant,40.722730394629,-73.998330776327,3021,4.0,american
La Parisienne,40.70961,-74.0093799,415,4.5,american
French Louie,40.6879459,-73.988257,363,4.0,american
Havana Central,40.75831,-73.98416,2221,4.0,american
La Goulette,40.71483,-73.96157,306,4.5,american
Entwine,40.737398,-74.00796,210,4.0,american
CajunSea & Oyster Bar,40.7483352,-73.9867701,1210,4.0,american
Rosie's,40.72492,-73.99079,683,4.0,american
Lucali,40.6818,-74.00024,1462,4.5,american
Buddakan,40.7422762672197,-74.0048000961542,3889,4.0,american
Pig Beach,40.6792941479875,-73.9880264255794,543,4.0,american
Aurora,40.715621,-73.964757,583,4.0,american
99 Favor Taste,40.728833,-73.988094,581,4.0,american
Vanessa's Dumpling House,40.71839,-73.9917399,2579,4.0,american
Xi'an Famous Foods,40.75606,-73.9808,1639,4.0,american
FREEHOLD,40.7136054,-73.965905,502,3.5,american
Fresh Salt,40.70707,-74.00244,389,4.0,american
Ugly Baby,40.67795,-73.9961,308,4.5,american
Cheeseboat,40.71994,-73.95791,382,4.0,american
Oscar Wilde,40.74514,-73.9900399,600,4.0,american
Pure Thai Cookhouse,40.764291,-73.988159,2470,4.0,american
The Smith,40.74424,-73.98878,910,4.0,american
Peaches,40.6818070319111,-73.9346463688382,1081,3.5,american
Let's Meat,40.746774,-73.985524,887,4.0,american
Dar 525,40.72308,-73.9452699,116,4.5,american
Tim Ho Wan,40.73168,-73.99007,1636,3.5,american
Excuse My French,40.71844,-73.98981,266,4.5,american
shabushabu Mayumon,40.71434,-73.99205,8,5.0,american
Esme,40.7332033928175,-73.9549667724914,331,4.5,american
Lombardi's Pizza,40.7215934960083,-73.9955956044561,6008,4.0,american
CAVA,40.7337897786475,-73.9896078601189,278,4.5,american
