Name,Latitude,Longitude,Votes,Rating,Type
Masraff's,29.74813,-95.46087,864,4.5,indian
Pepper Twins,29.74806,-95.38634,597,4.0,indian
Giacomo's Cibo e Vino,29.742032,-95.423718,511,4.0,indian
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438,4.0,indian
Mendocino Farms,29.75766417,-95.457146,27,5.0,indian
Spicy Girl,29.7389782,-95.3801068,305,4.0,indian
Reggae Hut,29.7264276,-95.3776415,370,4.0,indian
Leeland House,29.74654,-95.35827,287,4.0,indian
Alice Blue,29.8027866863104,-95.4010648693115,201,4.0,indian
Osso & Kristalla,29.7574509,-95.3579026,242,4.0,indian
Olive & Twist,29.73435,-95.42048,51,4.5,indian
Mendocino Farms,29.716224,-95.415251,117,4.0,indian
BB's Tex-Orleans,29.78133,-95.38794,767,4.0,indian
Hopdoddy Burger Bar,29.7156587268155,-95.4153643206374,530,4.0,indian
Paulie's,29.7428749,-95.4064275,781,4.0,indian
Good Dog Houston - Heights,29.78741,-95.38797,623,4.0,indian
Finn Hall,29.758662,-95.363796,189,4.0,indian
Rachels Cafe,29.7597414288733,-95.3599986477912,170,4.5,indian
Dak & Bop,29.721726,-95.382427,1026,3.5,indian
Roostar Vietnamese Grill,29.7313251,-95.4753633,685,4.5,indian
The Grove,29.7526501477753,-95.3603514211737,747,3.5,indian
The Hay Merchant,29.74494,-95.39303,992,4.0,indian
The Rice Box,29.7556801,-95.40862,164,4.0,indian
BCN Taste & Tradition,29.7349309,-95.390075,297,4.5,indian
King's Bierhaus,29.8041431,-95.4274122,533,4.0,indian
Pluckers Wing Bar,29.7735952,-95.4093677,918,3.5,indian
Rim Tanon,29.7340213532774,-95.4147996660098,352,4.5,indian
Hughie's,29.80131,-95.4317,710,4.0,indian
Urban Eats,29.7695392518322,-95.3949268650834,890,4.0,indian
Roma,29.7149,-95.41475,73,4.0,indian
La Sicilia,29.74425,-95.38821,201,4.5,indian
Bubba's Texas Burger Shack,29.7259695179953,-95.4668481174935,735,4.0,indian
Roti,29.7092641,-95.4014984,3,5.0,indian
Argentina Cafe,29.7351398468018,-95.4661560058594,368,4.0,indian
Mandola's Deli,29.73764,-95.33956,271,4.5,indian
The Gyro Grill Guys,29.743904,-95.364636,213,4.5,indian
La Villa,29.733931,-95.3908263,58,4.5,indian
Punk's Simple Southern Food,29.7185841228888,-95.4150941883606,559,3.5,indian
Pappa Geno's,29.80202,-95.43037,566,4.5,indian
Café Poêtes,29.75348,-95.37966,265,4.0,indian
The Union Kitchen,29.8186757,-95.4293346,380,4.0,indian
Lankford Grocery,29.75005,-95.38382,688,4.0,indian
Bollo Woodfired Pizza,29.7389786,-95.4134581,579,4.5,indian
Mendocino Farms,29.7593,-95.36241,4,4.5,indian
D'Amico's Italian Market Cafe,29.71598,-95.4153504,367,4.0,indian
Better Luck Tomorrow,29.78122,-95.39861,248,4.0,indian
Truluck's,29.7402018410924,-95.4699522711639,717,4.0,indian
La Calle Tacos,29.7634662971423,-95.3606901858526,556,4.0,indian
Gusto Gourmet,29.7362906,-95.4108062,281,4.5,indian
Ramen Tatsu-Ya,29.7433,-95.39833,859,3.5,indian
Tamashi Ramen and Sushi,29.70642,-95.41726,361,4.5,indian
LES BA'GET,29.81675,-95.42858,124,4.0,indian
Lotti Dotti,29.734293,-95.387233,38,4.5,indian
BB's Tex-Orleans,29.745212,-95.391735,632,3.5,indian
Brenner's on the Bayou,29.7595459124491,-95.4199138920306,649,4.0,indian
Tacos Tierra Caliente,29.73829,-95.40826,825,4.5,indian
Local Foods,29.783645,-95.398487,175,4.5,indian
Izakaya,29.7520078,-95.3768782,589,4.0,indian
Dot Coffee Shop,29.701056,-95.2951,478,4.0,indian
El Tiempo Cantina - Navigation,29.75631,-95.34151,333,4.0,indian
Brasserie du Parc,29.7538691044983,-95.3612487998702,226,4.0,indian
Yokushi Robata,29.7323230077825,-95.4392364666781,216,4.0,indian
Krab Kingz Seafood,29.8611744582097,-95.4729844629765,216,3.5,indian
Lucienne,29.7551246407975,-95.3660582005978,65,4.0,indian
Seasons 52,29.7415521341054,-95.4521601294998,565,4.0,indian
Taste Bar + Kitchen,29.74529,-95.3813,381,3.5,indian
Hubcap Grill,29.760158,-95.360458,294,4.0,indian
Hughie's,29.79774,-95.38316,169,4.5,indian
Moon Tower Inn,29.754284,-95.341073,762,4.0,indian
Treebeards,29.7621854179471,-95.3618420932421,196,4.0,indian
Liberty Kitchen & Oyster Bar,29.79058,-95.38753,1076,3.5,indian
Aka Sushi House,29.7386449,-95.4161434,1138,4.0,indian
Maine-ly Sandwiches,29.7856017,-95.4649034,707,4.0,indian
Siu Lap City,29.74512,-95.37747,95,4.5,indian
Flying Saucer Draught Emporium,29.75882,-95.36315,714,4.0,indian
Theodore Rex,29.767778,-95.3540249,146,4.5,indian
Pasha,29.7148246765137,-95.4138641357422,291,4.0,indian
Blackbird Izakaya,29.79036,-95.4092,214,4.0,indian
Govinda's Vegetarian Cuisine,29.8176694576682,-95.423864390213,356,4.5,indian
The Chicken & Rice Guys,29.8117842905828,-95.3997976018524,79,4.0,indian
Fig & Olive - Houston,29.7396908,-95.4652897,268,4.0,indian
Tropical’s Colombian Restaurant,29.74485,-95.38351,31,4.5,indian
Diced Poke,29.739003,-95.380113,411,4.5,indian
Sofrito,29.8153470366494,-95.4297368084947,21,5.0,indian
Tacos A Go Go,29.7383884,-95.3798736,902,4.0,indian
Katz's Deli & Bar,29.744801,-95.38951,993,3.5,indian
Cowboys & Indians Tex-In Kitchen,29.75182,-95.38547,308,4.0,indian
MF Sushi,29.723782,-95.385899,502,4.5,indian
The Union Kitchen,29.770879,-95.422966,231,4.0,indian
Peru Cafe Express,29.7283750376028,-95.4378222833283,280,4.5,indian
Neo Baguette,29.8041031910297,-95.3965086489916,135,4.5,indian
Flower Child,29.75697,-95.45693,302,4.5,indian
Helen Greek Food and Wine,29.71728,-95.41606,337,4.0,indian
Velvet Taco,29.7445648126161,-95.3905151312828,318,4.5,indian
The Empanada Factory,29.728305,-95.437831,109,4.5,indian
Texadelphia,29.7419099637541,-95.3909698743018,85,4.0,indian
Around the Corner,29.7467267366316,-95.3580480587744,181,4.5,indian
La Table,29.7473478503039,-95.4616583121282,265,4.0,indian
Adair Kitchen,29.748991,-95.466573,830,4.0,indian
Songkran Thai Kitchen,29.7565604,-95.4573055,359,4.0,indian
Pappas Bros. Steakhouse,29.7555094708505,-95.3628793166023,257,4.5,indian
The Pho Spot,29.760415889082,-95.3616855293512,200,4.5,indian
Riva's Italian Restaurant,29.74605,-95.39248,516,4.0,indian
The Halal Guys,29.732289,-95.4121366,1050,4.0,indian
Bravery Chef Hall,29.76156,-95.36228,50,4.5,indian
The Gypsy Poet,29.74416,-95.37029,78,5.0,indian
Goode Company Seafood,29.7285128246383,-95.4203385626453,567,4.0,indian
Bernie's Burger Bus,29.8062298601927,-95.3989635407925,313,4.0,indian
Common Bond Cafe & Bakery,29.7428969,-95.4023708,1966,4.0,indian
B.B. Lemon,29.7674542512049,-95.3761047497392,203,3.5,indian
Liberty Kitchen & Oysterette,29.7469456093221,-95.4497998117782,701,4.0,indian
Gatlin's BBQ,29.8204165146057,-95.4290675846557,657,3.5,indian
Tamales Don Pepe,29.67714,-95.43921,140,4.5,indian
Zydeco Louisiana Diner,29.75109,-95.3673699,209,4.5,indian
Tapester's Grill,29.6896,-95.45222,330,4.0,indian
Hungry's,29.71784,-95.41363,715,3.5,indian
Perbacco,29.760168,-95.365059,167,4.0,indian
Local Foods,29.7609231985565,-95.3619832545519,226,4.5,indian
Tamashi Ramen and Sushi,29.7884065,-95.4678997,405,4.5,indian
Riel,29.74456,-95.40489,213,4.0,indian
Yia Yia Mary's,29.74753,-95.45791,699,3.5,indian
Shepherd Park Draught House,29.8175785297165,-95.4099878697624,376,4.5,indian
B&B Butchers & Restaurant,29.76807,-95.37628,953,3.5,indian
Café Rabelais,29.7167059779167,-95.4156891256571,319,4.0,indian
Cafeza,29.7736,-95.3722,309,4.0,indian
Blue Onyx Bistro,29.733347807236,-95.456397757844,321,4.5,indian
HS Green,29.7325599889764,-95.4640570655465,339,4.5,indian
Gyro King,29.698073,-95.387614,703,4.5,indian
Fadi's Eatery,29.72173,-95.38244,63,4.5,indian
Eloise Nichols Grill & Liquors,29.742388,-95.4505148,323,4.0,indian
Ginger & Fork,29.775371,-95.408767,237,4.0,indian
Brothers Taco House,29.74513,-95.35682,358,4.0,indian
Piada Italian Street Food,29.76099,-95.42052,366,4.0,indian
Flip 'n Patties,29.7594315325627,-95.3648082911968,39,4.5,indian
Angela's Oven,29.80957,-95.39725,176,4.5,indian
Houston's Famous Deli,29.6851238,-95.399255,149,4.5,indian
