Name,Latitude,Longitude,Votes,Rating,Type
Cantina 48,40.76497,-73.99607,5,4.5,mexican
Tacombi - Flatiron,40.742807,-73.991138,637,3.5,mexican
La Lupe,40.69725,-73.93517,164,3.5,mexican
Tacombi - Bleecker Street,40.73112,-74.00272,354,4.0,mexican
Tacombi - Williamsburg,40.71489,-73.95949,2,4.0,mexican
Otto's Tacos,40.73454,-74.00206,293,4.0,mexican
Otto's Tacos,40.7625885009766,-73.9900054931641,351,4.0,mexican
Dos Caminos,40.7421567897168,-73.9845427163755,1165,3.5,mexican
El Mero Mero,40.753834323302,-73.923701159656,81,4.5,mexican
Lucky Cheng's,40.765076,-73.995986,86,3.5,mexican
El Parador Cafe,40.7444599,-73.97472,422,4.0,mexican
Virgin Mary Tacos,40.7400398,-73.9766541,6,5.0,mexican
Bar San Miguel,40.68134,-73.9938279,134,4.0,mexican
Sinigual,40.7503161990978,-73.9750733399726,829,3.5,mexican
Cosme,40.739691,-73.988428,997,3.5,mexican
Zaragoza Mexican Deli & Grocery,40.730102,-73.980949,297,4.0,mexican
The Little Taco House,40.73475,-74.00321,39,4.5,mexican
Luchadores,40.70582,-74.00411,66,3.5,mexican
Atla,40.7271874,-73.9938924,274,3.5,mexican
Javelina,40.7368812561035,-73.9873886108398,449,3.5,mexican
Lupita's Restaurant,40.790205,-73.943136,120,4.0,mexican
El Kallejon,40.798538,-73.938805,277,4.5,mexican
Conmigo,40.77793,-73.94902,193,4.0,mexican
Tacos Cholula,40.72301,-73.98605,148,4.0,mexican
Anejo,40.762577,-73.992919,662,3.5,mexican
Factory Tamal,40.7159893975333,-73.9903887679246,84,4.5,mexican
Tortaria,40.73387,-73.99304,684,3.5,mexican
Blue Maiz,40.75543,-73.99071,241,4.0,mexican
Calexico - Park Slope,40.674283,-73.982278,423,3.5,mexican
Burrito Bar,40.678342,-73.9730639,698,3.0,mexican
La Chula,40.79882,-73.94168,164,4.0,mexican
Casa Publica,40.718194,-73.9520543,103,4.0,mexican
Blockheads,40.73123,-73.98905,224,3.5,mexican
El Centro,40.76602,-73.98688,837,4.0,mexican
Tacombi - Fort Greene,40.68699,-73.9779,131,3.5,mexican
La Loncheria,40.702921,-73.929105,56,4.5,mexican
Tacombi - Empire State Building,40.748375,-73.9864908,163,4.0,mexican
Taco Mix,40.797098,-73.938785,366,4.0,mexican
Borrachito,40.7295,-73.98084,19,4.0,mexican
Réunion,40.75964943513,-73.991308284398,684,4.0,mexican
Blockheads,40.7551,-73.96802,451,3.5,mexican
Mexico 2000 Restaurant,40.70765,-73.95493,127,4.0,mexican
Jimbo Slims,40.7209450363619,-73.9465168238625,34,5.0,mexican
Los Tacos Al Pastor,40.70254,-73.98736,44,3.0,mexican
Temerario,40.7434133400872,-73.9996277220286,255,4.0,mexican
GMC Temaxcal Deli & Grocery,40.696418,-73.972984,48,4.5,mexican
Chela & Garnacha,40.7557171543477,-73.927811292412,365,4.5,mexican
Cena Brooklyn,40.6514621241404,-73.9757554605603,49,4.0,mexican
Lupe's,40.72369,-74.0045776,380,3.5,mexican
Café Frida,40.7808959,-73.9764829,655,3.5,mexican
El Santo Taqueria,40.70427,-73.9302,17,4.5,mexican
Buddy's Burrito & Taco Bar,40.685341,-73.994661,159,4.0,mexican
Rosarito Fish Shack,40.7195575,-73.9607528,531,3.0,mexican
Las Catrinas Mexican Bar & Eatery,40.7614214682633,-73.9246649456171,301,4.0,mexican
Las Margaritas Sunset,40.7176805498912,-73.9449793863278,40,4.0,mexican
Calexico - Greenpoint,40.72416,-73.95132,692,3.5,mexican
El Nopal Restaurant & Juice Bar,40.663129,-73.9912745,108,4.0,mexican
Burrito Republic,40.7006779324274,-73.8991589471698,86,4.0,mexican
Cafe Ollin,40.7912288,-73.9395386,380,4.5,mexican
Tacos Grand Central,40.75164,-73.97418,195,4.0,mexican
Takumi Taco,40.751606,-74.00652,38,4.0,mexican
Taqueria Santa Fe,40.700351,-73.920546,90,4.5,mexican
Empellón Al Pastor Murray Hill,40.74931,-73.97664,57,3.5,mexican
Oaxaca Taqueria,40.7841453552246,-73.9778137207031,384,3.5,mexican
Downtown Bakery Cocina Mexicana,40.72543,-73.98711,249,4.0,mexican
Guadalajara De Dia 2,40.7044639587402,-73.9109420776367,86,4.0,mexican
