Name,Latitude,Longitude,Votes,Rating,Type
Claudette,40.7330367619291,-73.9960286909289,369.0,4.0,mediterranean
Kashkaval Garden,40.766758,-73.986144,557.0,4.0,mediterranean
CAVA,40.721964,-73.996499,71.0,4.0,mediterranean
Four Five Six,40.719181,-73.943149,49.0,4.5,mediterranean
Under The Bridge,40.7596400253254,-73.9623098820448,188.0,4.0,mediterranean
Oasis,40.7177548450764,-73.9573632606763,611.0,4.0,mediterranean
Taboon,40.7661052157931,-73.9909893717713,641.0,4.0,mediterranean
Estiatorio Milos,40.76368,-73.97922,869.0,4.0,mediterranean
Ella Kitchen & Bar,40.7770496467021,-73.9788913948279,490.0,4.0,mediterranean
NOMO Kitchen,40.7198301,-74.0000708,509.0,3.5,mediterranean
Ousia,40.7707946574904,-73.992433445755,222.0,4.0,mediterranean
Balade,40.730251,-73.983001,680.0,4.0,mediterranean
Pheasant,40.7185,-73.9452,69.0,4.5,mediterranean
Ravagh Persian Grill,40.7618025365842,-73.9605525538847,287.0,4.0,mediterranean
Pi Bakerie,40.72361,-74.00329,256.0,4.5,mediterranean
Marlow Bistro,40.8028109023738,-73.9641991912535,272.0,4.0,mediterranean
Fig & Olive - Meatpacking,40.7406284811719,-74.0068594359003,1339.0,3.5,mediterranean
Tava Turkish Mediterranean,40.673165,-73.983292,153.0,4.5,mediterranean
Dua Kafe,40.72979,-73.97924,48.0,4.5,mediterranean
Ba'al Cafe & Falafel,40.7244699,-74.0039,279.0,4.5,mediterranean
Avra Estiatorio,40.75513,-73.97245,851.0,4.0,mediterranean
Bite,40.7257318645125,-73.9946338116395,258.0,4.0,mediterranean
Leyla,40.77882,-73.97834,58.0,4.5,mediterranean
Roti Modern Mediterranean,40.706518,-74.007133,260.0,4.0,mediterranean
CAVA,40.7541862,-73.9819133,56.0,4.5,mediterranean
Pita Palace,40.7172485,-73.9448511,220.0,5.0,mediterranean
Heights Falafel,40.698551,-73.992706,230.0,4.0,mediterranean
Mémé Mediterranean,40.760929,-73.994827,271.0,4.0,mediterranean
Beyoglu,40.7754199,-73.9562399,1130.0,4.0,mediterranean
Pasha Restaurant,40.7765809,-73.9790791,391.0,4.0,mediterranean
Mamoun's Falafel,40.7288849575335,-73.988463348408,1157.0,4.0,mediterranean
Taheni Mediterranean Grill,40.67742,-73.98343,214.0,4.5,mediterranean
