Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Tin Roof BBQ
                                    "," 18918 Town Center Boulvard, Humble 77346",104 votes,4.2,Cost for two:$35,-95.1741573,29.9962395,BBQ,Houston
"Red River Barbecue and Grill
                                    "," 1911 E Main Street, League City 77573",121 votes,4.4,Cost for two:$40,-95.0776411,29.5201244,BBQ,Houston
"Killen's Barbecue
                                    "," 3613 E Broadway Street, Pearland 77581",65 votes,4.1,Cost for two:$75,-95.2822807,29.5640332,BBQ,Houston
"Mia's Table
                                    "," 3131 Argonne Street, Houston 77098",51 votes,3.8,Cost for two:$45,-95.4173144,29.7370693,BBQ,Houston
"The Swinging Door
                                    ", 3818 FM 359 Road 77469,123 votes,4.4,Cost for two:$25,-95.7693624,29.6274061,BBQ,Houston
"Luling City Market
                                    ", 4726 Richmond Avenue. 77027,115 votes,3.8,Cost for two:$20,-95.4573137,29.7331026,BBQ,Houston
"True Texas BBQ
                                    ", 4517 Kingwood Drive,",",,Cost for two:$15,-95.1821126,30.0510409,BBQ,Houston
"D's Farm Road BBQ
                                    ", 7393 FM 1488 77354,Cuisines: ,,Cost for two:$30,-95.580389,30.220215,BBQ,Houston
"Irv's BBQ
                                    "," 40203 US-290, Waller 77484",Cuisines: ,,Cost for two:$30,-95.9197975,30.0669105,BBQ,Houston
"El Paisa BBQ
                                    ", 9360 Richmond Avenue 77063,Cuisines: ,,Cost for two:$15,-95.5291371,29.729354,BBQ,Houston
"Colwell's Barbeque Soul Food
                                    "," 9230 Jensen Dr, Houston 77093",Cuisines: ,,Cost for two:$25,-95.3425245,29.8459338,BBQ,Houston
"Tail Gate Grill
                                    "," 22008 Rosehill Pines, Tomball 77377",Cuisines: ,,Cost for two:$25,-95.7300008,30.081795,BBQ,Houston
"Hot Pit Bar B Q
                                    "," 17334 Beaumont Hwy, Sheldon, Houston",Cuisines: ,,Cost for two:$20,-95.1286606,29.867253,BBQ,Houston
"Up In Smoke BBQ
                                    "," (Serving Midland and Surrounding areas), 5017 Pimlico Dr, Houston 79707",Cuisines: ,,Cost for two:$20,-102.1651033,32.0411314,BBQ,Houston
"Paw Paw Chico BBQ
                                    ", 26835 Cypresswood Drive. Spring 77373,Cuisines: ,,Cost for two:$20,-95.3946709,30.0620905,BBQ,Houston
"The Meating Place BBQ & Bakery
                                    ", 35421 TX-249,Cuisines: ,,Cost for two:$40,-95.6831553,30.1707825,BBQ,Houston
"Kababjees
                                    ", 5600 Hillcroft Street,Cuisines: ,,Cost for two:$30,-95.501338,29.7218835,BBQ,Houston
