Name,Address,Votes,Rating,cost,Longitude,Latitude
"Gino's Pizzeria
                                    "," 10-38 Beach 20th Street, Queens, NY 11691",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.752898,40.6033204
"Piccolo Trattoria
                                    "," 455 Main Street, New York, NY 10044",",","
                                        -
                                    ",Cost for two:$40,-73.9526052,40.7592235
"Rosa's Pizza & Pasta
                                    "," 62-65 Fresh Pond Road, Queens 11385",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.900002,40.7121968
"Whit's End Pizza
                                    "," 97-14 Rockaway Beach Boulevard, Queens, NY 11693",",","
                                        -
                                    ",Cost for two:$60,-73.8192481,40.584925
"Nonna Gina Pizzeria
                                    "," 4324 Greenpoint Ave, Sunnyside 11104",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9211238,40.7411181
"Marchini Homestyle
                                    "," 54-30 48th Street, Maspeth, Queens 11378",",","
                                        -
                                    ",Cost for two:$25,-73.9193109,40.7302509
"Nike's Pizzeria
                                    ", 625 East 189Th Street 10458,Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.8851011,40.8570504
"Delizia 73 Ristorante & Pizza
                                    "," 1372 1st Avenue, New York 10021",Cuisines: ,"
                                        -
                                    ",Cost for two:$50,-73.9551626,40.7685688
"Milano Market
                                    "," 2892 Broadway, New York, NY 10025",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9652404,40.8057329
"Liola
                                    ", 15-01 149th Street 11357,",","
                                        -
                                    ",Cost for two:$80,-73.815882,40.787061
"Battista Ristorante
                                    "," 4602 Avenue N, Brooklyn 11234",Cuisines: ,"
                                        -
                                    ",Cost for two:$70,-73.93056109999999,40.6185582
"Via Quadronno
                                    "," 1228 Madison Avenue, New York 10128",Cuisines: ,"
                                        -
                                    ",Cost for two:$60,-73.9578338,40.7825765
"Grace's Marketplace
                                    "," 1299 2nd Avenue, New York 10065",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.9602921,40.7665174
"San Gennaro Trattoria
                                    "," 2329 Arthur Street, Bronx 10458",Cuisines: ,"
                                        -
                                    ",Cost for two:$80,-73.8891299,40.854076
"Tutto Il Giorno -Tribeca
                                    ", 114 Franklin Street 10013,Cuisines: ,"
                                        -
                                    ",Cost for two:$110,-74.0059811,40.71880400000001
"Angelina's Metro Market
                                    "," LaGuardia Airport, Flushing 11371",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8855943,40.77348509999999
"Faro
                                    "," 436 Jefferson Street, Brooklyn 11237",Cuisines: ,"
                                        -
                                    ",Cost for two:$60,-73.9228274,40.70741599999999
"Benateri's Italian Deli
                                    ", 129-21 14th Avenue 11356,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.83850269999999,40.7859697
"Soleluna
                                    "," 40-01 Queens Boulevard, Queens 11104",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.9240257,40.7440655
"Crispo Restaurant
                                    "," 240 W 14th Street, New York 10011",Cuisines: ,"
                                        -
                                    ",Cost for two:$50,-74.0018035,40.7391403
"Laboratorio 51
                                    "," 329 W 51st Street, New York, NY 10018",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.9868151,40.7636012
"June
                                    "," 231 Court Street, Brooklyn 11201",Cuisines: ,"
                                        -
                                    ",Cost for two:$80,-73.993907,40.686072
"Goodfella's Victory
                                    "," 1817 Victory Boulevard, Castleton Corner 10314",41 votes,"
                                        4.0
                                    ",Cost for two:$35,-74.1239701,40.613256
"Sal & Carmine's Pizza
                                    "," 2671 Broadway, New York 10025",58 votes,"
                                        4.2
                                    ",Cost for two:$35,-73.969439,40.7983829
"Via Della Pace
                                    ", 48 East 7th Street. 10003,43 votes,"
                                        4.0
                                    ",Cost for two:$80,-73.9876733,40.7276023
"Dani's House of Pizza
                                    "," 81-28 Lefferts Boulevard, Queens 11415",51 votes,"
                                        4.5
                                    ",Cost for two:$30,-73.8305343,40.7089715
"Papazzio Restaurant
                                    ", 3938 Bell Boulevard 11361,",","
                                        3.9
                                    ",Cost for two:$110,-73.7716303,40.76424
"Caffe Palermo
                                    "," 148 Mulberry Street, New York 10013",48 votes,"
                                        3.7
                                    ",Cost for two:$20,-73.9972901,40.7189915
"Little Italy Pizzeria
                                    "," 55 W 45th Street, New York 10036",45 votes,"
                                        3.9
                                    ",Cost for two:$20,-73.98147039999999,40.7564841
"Serafina Always
                                    "," 33 E 61st Street, New York 10065",59 votes,"
                                        4.1
                                    ",Cost for two:$85,-73.9698085,40.7647562
"My Little Pizzeria
                                    ", 114 Court Street 11201,46 votes,"
                                        4.4
                                    ",Cost for two:$40,-73.99233149999999,40.6902516
"Big Nick's
                                    "," 70 W 71st Street, New York 10023",44 votes,"
                                        3.9
                                    ",Cost for two:$30,-73.9790728,40.7764537
"Gruppo
                                    "," 98 Avenue B, New York 10009",42 votes,"
                                        3.9
                                    ",Cost for two:$25,-73.98164849999999,40.7247367
"Caffe Reggio
                                    "," 119 MacDougal Street, New York 10012",59 votes,"
                                        3.9
                                    ",Cost for two:$40,-74.00041689999999,40.7302678
"Il Pastaio di Eataly
                                    "," 200 5th Avenue, Flatiron 10010",28 votes,"
                                        3.6
                                    ",Cost for two:$75,-73.989942,40.7419978
"Jimmy Max
                                    "," 280 Watchogue Roadd, Westerleigh 10314",48 votes,"
                                        4.2
                                    ",Cost for two:$75,-74.1386538,40.61604120000001
"Gabriel's
                                    "," 11 West 60th Street, New York 10023",",","
                                        3.9
                                    ",Cost for two:$100,-73.9828696,40.7693649
"Williamsburg Pizza
                                    "," 277 Broome Street, New York 10002",4 votes,"
                                        3.0
                                    ",Cost for two:$50,-73.9911656,40.7182551
"Palermo Pizza
                                    "," 61 Murray Street, New York 10007",2 votes,"
                                        3.0
                                    ",Cost for two:$25,-74.0098684,40.7144132
"Fabbrica
                                    "," 44 North 6th Street, Brooklyn 11249",12 votes,"
                                        3.2
                                    ",Cost for two:$100,-73.9626643,40.7196429
"De Lillo's Pastry Shop
                                    "," 610 E 187th Street, Bronx 10458",11 votes,"
                                        3.8
                                    ",Cost for two:$15,-73.8872739,40.8551489
"Broadway Pizza & Restaurant
                                    "," 2709 Broadway, New York 10025",8 votes,"
                                        3.6
                                    ",Cost for two:$45,-73.9686711,40.7996265
"Connie's Pizza
                                    "," 3845 Nostrand Avenue, Brooklyn 11235",",","
                                        3.6
                                    ",Cost for two:$30,-73.93926569999999,40.5901463
"Strokos Deli & Catering
                                    "," 888 10th Avenue, New York 10019",8 votes,"
                                        3.6
                                    ",Cost for two:$25,-73.98784669999999,40.7695806
"Margherita Pizza
                                    ", 16304 Jamaica Avenue 11432,6 votes,"
                                        3.7
                                    ",Cost for two:$15,-73.79673249999999,40.7045847
"Costata
                                    "," 206 Spring Street, New York 10012",",","
                                        3.2
                                    ",Cost for two:$120,-74.00378280000001,40.72521709999999
"Neofytos Pizza/ Gourmet Deli
                                    "," 1131 Madison Avenue, New York 10028",",","
                                        3.8
                                    ",Cost for two:$30,-73.9593889,40.779726
"Piazza Pizza Restaurant
                                    "," 31-06 42nd Street, Queens 11103",5 votes,"
                                        3.7
                                    ",Cost for two:$40,-73.9157973,40.7604499
"Samaria Pizza
                                    "," 21-07 Broadway, Queens 11106",7 votes,"
                                        4.0
                                    ",Cost for two:$25,-73.9310119,40.7655092
"Rami's Kosher Pizza
                                    "," 3005 Avenue K, Brooklyn 11210",6 votes,"
                                        3.6
                                    ",Cost for two:$15,-73.9461815,40.6246478
"Caterina Pizzeria
                                    "," 907 Livonia Avenue, Brooklyn 11207",2 votes,"
                                        3.3
                                    ",Cost for two:$20,-73.883448,40.6665445
"Big John Pizza & Pasta
                                    "," 219-11 Jamaica Avenue, Queens 11428",2 votes,"
                                        3.4
                                    ",Cost for two:$20,-73.7358451,40.7185614
"Gino's Pizza
                                    "," 81 Catherine Street, New York 10038",2 votes,"
                                        3.5
                                    ",Cost for two:$20,-73.9964631,40.7107348
"Ivana's Pizzeria
                                    "," 2373 Arthur Avenue, Bronx 10458",1 vote,"
                                        3.2
                                    ",Cost for two:$15,-73.88826399999999,40.8550602
"University Pizza & Restaurant
                                    "," 574 East Fordham Road, Bronx 10458",2 votes,"
                                        3.4
                                    ",Cost for two:$10,-73.8858492,40.8586324
"Bergen Beach Cafe
                                    "," 7112 Avenue U, Brooklyn 11234",2 votes,"
                                        3.1
                                    ",Cost for two:$20,-73.9068869,40.6198494
"Fat Cat's Pizza
                                    "," 32-20 34th Avenue, Queens 11106",1 vote,"
                                        3.2
                                    ",Cost for two:$25,-73.9258536,40.7588982
"La Sorrentina Pizza
                                    "," 6510 11th Avenue, Brooklyn 11219",2 votes,"
                                        3.3
                                    ",Cost for two:$25,-74.0064402,40.62846589999999
"Francesco's Restaurant & Pizzeria
                                    "," 70-29 Parsons Boulevard, Fresh Meadows 11365",1 vote,"
                                        3.4
                                    ",Cost for two:$25,-73.8107247,40.731609
"Last Stop
                                    "," 22-35 31st Street, Queens 11105",",","
                                        3.5
                                    ",Cost for two:$30,-73.9114968,40.7752832
"New York Sal's Pizza
                                    "," 696 10th Avenue, New York 10019",2 votes,"
                                        3.1
                                    ",Cost for two:$25,-73.9920697,40.763707
"Caffe Vivaldi
                                    "," 32 Jones Street, New York 10014",4 votes,"
                                        3.2
                                    ",Cost for two:$75,-74.00298049999999,40.7317316
