Name,Address,Votes,Rating,cost,Longitude,Latitude
"Best Burger
                                    "," 2203 S Main St, Stafford 77477",18 votes,"
                                        3.9
                                    ",Cost for two:$25,-95.5467589,29.6147217
"Someburger Hamburgers
                                    "," 900 Decker Dr, Baytown 77520",21 votes,"
                                        3.7
                                    ",Cost for two:$25,-94.9774051,29.7363243
"Mom's Kountry Cafe
                                    ", 226 Dell Dale Street 77530,16 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.1377096,29.7764346
"Charlie's BBQ
                                    "," 8222 Airline Drive, Houston 77037",19 votes,"
                                        3.9
                                    ",Cost for two:$75,-95.3887609,29.8799778
"Busy Bee Cafe
                                    "," 4009 Broadway Street, Pearland 77581",21 votes,"
                                        3.3
                                    ",Cost for two:$25,-95.2867382,29.564085
"5.ATE Cafe
                                    ", 403 East Louetta Road 77373,10 votes,"
                                        3.3
                                    ",Cost for two:$25,-95.429018,30.0697019
"Ellen's Cafe
                                    ", 307 Gentry Street 77373,25 votes,"
                                        3.5
                                    ",Cost for two:$25,-95.41966719999999,30.0783886
"Whataburger
                                    ", 30330 FM 2978 Road 77354,23 votes,"
                                        3.7
                                    ",Cost for two:$15,-95.59005839999999,30.1914209
"Triple J's Smokehouse
                                    ", 6715 Homestead Road 77028,12 votes,"
                                        3.7
                                    ",Cost for two:$25,-95.3022869,29.819196
"Chulas Sports Cantina
                                    "," 12008 E Fwy, Houston 77029",13 votes,"
                                        3.3
                                    ",Cost for two:$25,-95.2250771,29.7705841
"Island Grill
                                    ", 4024 Bellaire Boulevard 77025,22 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.442139,29.7067667
"Snappy's Cafe & Grill
                                    "," 5803 Highway Boulevard, Katy 77494",22 votes,"
                                        3.5
                                    ",Cost for two:$25,-95.8239734,29.7853362
"Papagrella's
                                    "," 5740 S Wayside Dr, Houston 77087",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.319992,29.681293
"Cajun New Orleans Kitchen
                                    "," 7105 W Fuqua Dr, Missouri City 77489",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.49275399999999,29.5984788
"Allison's Soul Food & Bar Bq
                                    "," 8429 Scott St, Houston 77051",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.3678048,29.6696663
"Arcola
                                    "," 13811 Hwy 6, Rosharon 77583",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.457208,29.50582499999999
"El Mariachi Loco
                                    "," 51 W Main St, Humble 77338",2 votes,"
                                        3.3
                                    ",Cost for two:$25,-95.26806099999999,29.9987348
"Basil's
                                    "," 15700 John F. Kennedy Blvd (Sheraton Hotel), Houston 77032",2 votes,"
                                        3.0
                                    ",Cost for two:$75,-95.3304986,29.9453427
"Cajun's Fried Turkeys
                                    "," 14507 S Post Oak Rd, Houston 77045",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.46465479999999,29.616069
"Malt N Burger
                                    ", 25330 W Highway 6 77511,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.27087209999999,29.43793539999999
"Dixie Maid
                                    "," 6800 Lyons Ave, Houston 77020",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-95.30181730000001,29.7763094
"Joy Love Burgers
                                    "," 22625 Tomball Parkway Suite 830, Tomball, TX 77375, USA",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.5948664,30.0156776
"Grille Works
                                    "," 1 Main Street, Houston 77002",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.3598537,29.7662407
"E J's Malt 'n' Burger
                                    "," 10309 Market St Rd, Houston 77029",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.24691949999999,29.7678496
"Burks Home Cooking
                                    "," 3204 Lyons Ave, Houston 77020",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.338067,29.775572
"Veritas Steak and Seafood
                                    ", 1550 Lake Pointe Parkway 77478,Cuisines: ,"
                                        -
                                    ",Cost for two:$275,-95.62205689999999,29.6021716
"Chef Kim's Cafe
                                    "," 10701 Corporate Dr, Stafford 77477",0 votes,"
                                        3.3
                                    ",Cost for two:$25,-95.59397779999999,29.6326033
"Whataburger
                                    ", 14460 FM 2100 77532,3 votes,"
                                        3.4
                                    ",Cost:$$$$,-95.06265429999999,29.8964914
"This Bar
                                    ", 21411 FM 2100,Cuisines: ,"
                                        -
                                    ",Cost:$$$$,-95.0910045,29.9862361
